,사상자 발생 시 위험도,사고 위험도
서울특별시 종로구 서린동,주의,위험
서울특별시 용산구 한강로3가,주의,위험
서울특별시 성동구 성수동1가,주의,위험
서울특별시 광진구 구의동,주의,위험
서울특별시 광진구 군자동,주의,위험
서울특별시 은평구 녹번동,주의,위험
서울특별시 마포구 상수동,주의,약간 위험
서울특별시 마포구 신수동,주의,매우 위험
서울특별시 마포구 성산동,주의,약간 위험
서울특별시 동대문구 용두동,주의,위험
서울특별시 양천구 목동,주의,위험
서울특별시 동대문구 제기동,주의,위험
서울특별시 중랑구 망우동,주의,위험
서울특별시 중랑구 상봉동,주의,위험
서울특별시 중랑구 중화동,주의,위험
서울특별시 성북구 장위동,주의,약간 위험
서울특별시 성북구 상월곡동,주의,위험
서울특별시 도봉구 방학동,주의,위험
서울특별시 노원구 중계동,주의,위험
서울특별시 노원구 상계동,주의,위험
서울특별시 노원구 공릉동,주의,위험
서울특별시 은평구 갈현동,주의,위험
서울특별시 광진구 자양동,주의,위험
서울특별시 동대문구 전농동,주의,위험
서울특별시 중랑구 면목동,주의,위험
서울특별시 강북구 미아동,주의,매우 위험
서울특별시 강북구 수유동,주의,위험
서울특별시 도봉구 도봉동,주의,위험
서울특별시 노원구 월계동,주의,약간 위험
서울특별시 은평구 응암동,주의,위험
서울특별시 은평구 신사동,주의,위험
서울특별시 은평구 역촌동,주의,매우 위험
서울특별시 은평구 불광동,주의,약간 위험
서울특별시 양천구 신정동,주의,위험
서울특별시 마포구 연남동,주의,위험
서울특별시 구로구 구로동,주의,위험
서울특별시 송파구 잠실동,주의,위험
서울특별시 강동구 성내동,주의,위험
서울특별시 영등포구 신길동,주의,위험
서울특별시 강동구 천호동,주의,약간 위험
서울특별시 종로구 경운동,주의,약간 위험
서울특별시 영등포구 여의도동,주의,위험
서울특별시 관악구 신림동,주의,약간 위험
서울특별시 광진구 광장동,주의,위험
서울특별시 관악구 봉천동,주의,위험
서울특별시 서초구 반포동,주의,위험
서울특별시 강남구 청담동,주의,약간 위험
서울특별시 강남구 도곡동,주의,위험
서울특별시 강남구 수서동,주의,위험
서울특별시 송파구 마천동,주의,약간 위험
서울특별시 송파구 가락동,주의,위험
서울특별시 송파구 송파동,주의,약간 위험
서울특별시 송파구 풍납동,주의,위험
서울특별시 송파구 방이동,주의,위험
서울특별시 송파구 신천동,주의,위험
서울특별시 송파구 석촌동,주의,위험
서울특별시 송파구 거여동,주의,약간 위험
서울특별시 강동구 명일동,주의,위험
서울특별시 광진구 능동,주의,약간 위험
서울특별시 강서구 내발산동,주의,위험
서울특별시 구로구 오류동,주의,위험
서울특별시 구로구 신도림동,주의,위험
서울특별시 금천구 독산동,주의,위험
서울특별시 금천구 시흥동,주의,약간 위험
서울특별시 영등포구 대림동,주의,위험
서울특별시 영등포구 영등포동2가,주의,위험
서울특별시 영등포구 양평동1가,주의,위험
서울특별시 영등포구 당산동4가,주의,약간 위험
서울특별시 성북구 하월곡동,주의,위험
서울특별시 도봉구 창동,주의,위험
서울특별시 도봉구 쌍문동,주의,위험
서울특별시 동작구 신대방동,주의,위험
서울특별시 송파구 삼전동,주의,위험
서울특별시 마포구 공덕동,주의,위험
서울특별시 성동구 성수동2가,주의,위험
서울특별시 양천구 신월동,주의,위험
서울특별시 강서구 등촌동,주의,약간 위험
서울특별시 동대문구 장안동,주의,약간 위험
서울특별시 동대문구 답십리동,주의,약간 위험
서울특별시 동대문구 휘경동,주의,위험
서울특별시 서초구 방배동,주의,약간 위험
서울특별시 강남구 일원동,주의,위험
서울특별시 중랑구 신내동,주의,위험
서울특별시 강동구 둔촌동,주의,위험
서울특별시 강동구 고덕동,주의,위험
서울특별시 영등포구 양평동2가,주의,약간 위험
서울특별시 송파구 오금동,주의,위험
서울특별시 강서구 화곡동,주의,위험
서울특별시 중구 무학동,주의,위험
서울특별시 용산구 이촌동,주의,위험
서울특별시 동작구 노량진동,주의,위험
서울특별시 성북구 종암동,주의,위험
서울특별시 중구 흥인동,주의,위험
서울특별시 강남구 논현동,주의,위험
서울특별시 서대문구 남가좌동,주의,위험
서울특별시 강동구 길동,주의,위험
서울특별시 구로구 가리봉동,주의,위험
서울특별시 성동구 마장동,주의,약간 위험
서울특별시 강동구 암사동,주의,위험
서울특별시 강남구 대치동,주의,위험
서울특별시 동작구 사당동,주의,위험
서울특별시 서대문구 홍제동,주의,위험
서울특별시 노원구 하계동,주의,약간 위험
서울특별시 마포구 상암동,주의,위험
서울특별시 강남구 개포동,주의,약간 위험
서울특별시 용산구 갈월동,주의,위험
서울특별시 동작구 대방동,주의,위험
서울특별시 동작구 흑석동,주의,위험
서울특별시 동작구 본동,주의,위험
서울특별시 서초구 잠원동,주의,위험
서울특별시 성북구 석관동,주의,위험
서울특별시 강북구 번동,주의,위험
서울특별시 동작구 동작동,주의,위험
서울특별시 강서구 가양동,주의,위험
서울특별시 강서구 방화동,주의,위험
서울특별시 종로구 숭인동,주의,위험
서울특별시 중구 신당동,주의,위험
서울특별시 성동구 송정동,주의,매우 위험
서울특별시 성북구 삼선동1가,주의,위험
서울특별시 구로구 개봉동,주의,위험
서울특별시 금천구 가산동,주의,위험
서울특별시 영등포구 당산동1가,주의,약간 위험
서울특별시 마포구 망원동,주의,위험
서울특별시 영등포구 문래동5가,주의,위험
서울특별시 영등포구 당산동3가,주의,약간 위험
서울특별시 영등포구 영등포동3가,주의,위험
서울특별시 영등포구 당산동6가,주의,위험
서울특별시 동대문구 신설동,주의,위험
서울특별시 동대문구 이문동,주의,위험
서울특별시 영등포구 양평동5가,주의,약간 위험
서울특별시 광진구 화양동,주의,위험
서울특별시 광진구 중곡동,주의,위험
서울특별시 영등포구 양평동3가,주의,매우 위험
서울특별시 마포구 창전동,주의,위험
서울특별시 영등포구 양평동6가,주의,위험
서울특별시 동대문구 청량리동,주의,위험
서울특별시 은평구 구산동,주의,위험
서울특별시 송파구 문정동,주의,위험
서울특별시 용산구 서빙고동,주의,매우 위험
서울특별시 마포구 서교동,주의,위험
서울특별시 영등포구 양화동,주의,위험
서울특별시 강서구 공항동,주의,위험
서울특별시 용산구 한강로1가,주의,위험
서울특별시 성북구 안암동4가,주의,위험
