,사고 빈번수,사상자 위험도,사고 위험도,,,,
서울특별시 중구 오장동,4,약간 위험,위험,,빈번수 순위,지역,빈번수
서울특별시 강남구 도곡동,11,약간 위험,매우 위험,,1,서울특별시 관악구 신림동,113
서울특별시 은평구 대조동,33,약간 위험,매우 위험,,2,서울특별시 강북구 미아동,81
서울특별시 강서구 화곡동,44,약간 위험,위험,,3,서울특별시 관악구 봉천동,73
서울특별시 강북구 수유동,34,약간 위험,위험,,,,
서울특별시 강북구 미아동,81,약간 위험,매우 위험,,,,
서울특별시 강동구 길동,15,약간 위험,위험,,,,
서울특별시 용산구 한강로1가,5,약간 위험,위험,,,,
서울특별시 관악구 신림동,113,약간 위험,위험,,,,
서울특별시 영등포구 여의도동,4,약간 위험,매우 위험,,,,
서울특별시 강남구 삼성동,10,약간 위험,매우 위험,,,,
서울특별시 서대문구 창천동,11,약간 위험,위험,,,,
서울특별시 마포구 대흥동,12,약간 위험,매우 위험,,,,
서울특별시 영등포구 양평동2가,3,약간 위험,매우 위험,,,,
서울특별시 강남구 역삼동,8,약간 위험,매우 위험,,,,
서울특별시 중구 남대문로4가,6,주의,위험,,,,
서울특별시 영등포구 신길동,43,약간 위험,위험,,,,
서울특별시 중랑구 면목동,12,약간 위험,매우 위험,,,,
서울특별시 강남구 대치동,35,약간 위험,위험,,,,
서울특별시 영등포구 당산동2가,5,약간 위험,매우 위험,,,,
서울특별시 동대문구 용두동,25,약간 위험,위험,,,,
서울특별시 강남구 청담동,7,약간 위험,매우 위험,,,,
서울특별시 도봉구 도봉동,13,약간 위험,매우 위험,,,,
서울특별시 중구 황학동,12,약간 위험,매우 위험,,,,
서울특별시 강남구 논현동,29,약간 위험,위험,,,,
서울특별시 서초구 서초동,34,약간 위험,위험,,,,
서울특별시 구로구 개봉동,24,약간 위험,위험,,,,
서울특별시 서초구 양재동,8,약간 위험,위험,,,,
서울특별시 노원구 공릉동,15,약간 위험,위험,,,,
서울특별시 중랑구 중화동,9,약간 위험,위험,,,,
서울특별시 구로구 오류동,8,약간 위험,위험,,,,
서울특별시 강북구 번동,5,약간 위험,매우 위험,,,,
서울특별시 종로구 낙원동,23,약간 위험,매우 위험,,,,
서울특별시 용산구 한남동,9,약간 위험,위험,,,,
서울특별시 송파구 석촌동,4,약간 위험,위험,,,,
서울특별시 양천구 신정동,28,약간 위험,매우 위험,,,,
