,사고 빈번수,사상자 위험도,사고 위험도,,,,
서울특별시 노원구 상계동,3,약간 위험,,,,,
서울특별시 성북구 동소문동7가,2,약간 위험,매우 위험,,,,
서울특별시 도봉구 쌍문동,2,약간 위험,위험,,빈번수 순위,지역,빈번수
서울특별시 종로구 혜화동,2,약간 위험,위험,,1,서울특별시 구로구 구로동,6
서울특별시 송파구 방이동,2,약간 위험,위험,,2,서울특별시 도봉구 창동,5
서울특별시 구로구 구로동,6,약간 위험,약간 위험,,2,서울특별시 동작구 흑석동,5
서울특별시 서대문구 홍제동,2,약간 위험,위험,,,,
서울특별시 도봉구 창동,5,약간 위험,위험,,,,
서울특별시 동대문구 장안동,4,약간 위험,매우 위험,,,,
서울특별시 동작구 대방동,2,약간 위험,약간 위험,,,,
서울특별시 은평구 갈현동,3,약간 위험,위험,,,,
서울특별시 성북구 종암동,2,약간 위험,약간 위험,,,,
서울특별시 성북구 석관동,3,약간 위험,위험,,,,
서울특별시 구로구 개봉동,4,약간 위험,위험,,,,
서울특별시 동작구 흑석동,5,약간 위험,위험,,,,
서울특별시 양천구 목동,2,약간 위험,위험,,,,
서울특별시 은평구 구산동,2,약간 위험,위험,,,,
서울특별시 동작구 상도동,2,약간 위험,위험,,,,
서울특별시 중랑구 묵동,3,약간 위험,위험,,,,
서울특별시 성북구 장위동,5,약간 위험,위험,,,,
서울특별시 금천구 시흥동,1,약간 위험,,,,,
서울특별시 관악구 신림동,1,약간 위험,,,,,
서울특별시 강동구 길동,2,약간 위험,위험,,,,
서울특별시 강북구 미아동,3,약간 위험,위험,,,,
서울특별시 종로구 숭인동,2,약간 위험,약간 위험,,,,
서울특별시 성북구 길음동,2,약간 위험,위험,,,,
서울특별시 은평구 응암동,2,약간 위험,위험,,,,
서울특별시 관악구 봉천동,1,약간 위험,,,,,
