,사고 빈번수,사상자 위험도,사고 위험도,,,,
서울특별시 구로구 구로동,74,주의,위험,,,,
서울특별시 종로구 종로2가,19,약간 위험,매우 위험,,빈번수 순위,지역,빈번수
서울특별시 중구 신당동,59,약간 위험,위험,,1,서울특별시 관악구 봉천동,130
서울특별시 중구 봉래동2가,19,주의,위험,,2,서울특별시 관악구 신림동,119
서울특별시 용산구 원효로2가,5,약간 위험,위험,,3,서울특별시 강북구 미아동,119
서울특별시 성동구 행당동,40,주의,매우 위험,,,,
서울특별시 도봉구 방학동,39,주의,매우 위험,,,,
서울특별시 영등포구 영등포동7가,14,주의,위험,,,,
서울특별시 성동구 금호동4가,3,주의,위험,,,,
서울특별시 중랑구 중화동,28,주의,매우 위험,,,,
서울특별시 은평구 불광동,62,주의,위험,,,,
서울특별시 마포구 신수동,4,주의,매우 위험,,,,
서울특별시 양천구 신월동,58,주의,매우 위험,,,,
서울특별시 관악구 봉천동,130,주의,위험,,,,
서울특별시 구로구 오류동,28,주의,매우 위험,,,,
서울특별시 영등포구 신길동,57,주의,매우 위험,,,,
서울특별시 강서구 내발산동,21,주의,위험,,,,
서울특별시 송파구 삼전동,10,약간 위험,매우 위험,,,,
서울특별시 구로구 개봉동,46,주의,매우 위험,,,,
서울특별시 금천구 독산동,49,주의,매우 위험,,,,
서울특별시 영등포구 문래동5가,3,주의,매우 위험,,,,
서울특별시 영등포구 영등포동1가,3,주의,위험,,,,
서울특별시 종로구 충신동,5,약간 위험,매우 위험,,,,
서울특별시 영등포구 당산동6가,4,주의,위험,,,,
서울특별시 동작구 흑석동,25,주의,매우 위험,,,,
서울특별시 동작구 상도동,86,약간 위험,위험,,,,
서울특별시 관악구 신림동,119,주의,매우 위험,,,,
서울특별시 강남구 개포동,11,주의,위험,,,,
서울특별시 강남구 대치동,9,주의,위험,,,,
서울특별시 강남구 논현동,8,약간 위험,위험,,,,
서울특별시 송파구 가락동,45,주의,매우 위험,,,,
서울특별시 송파구 석촌동,9,주의,매우 위험,,,,
서울특별시 강동구 둔촌동,5,약간 위험,위험,,,,
서울특별시 강동구 천호동,31,주의,위험,,,,
서울특별시 종로구 교북동,3,주의,매우 위험,,,,
서울특별시 노원구 월계동,19,약간 위험,위험,,,,
서울특별시 광진구 구의동,27,주의,위험,,,,
서울특별시 노원구 공릉동,24,주의,위험,,,,
서울특별시 중랑구 면목동,47,주의,매우 위험,,,,
서울특별시 강북구 수유동,94,약간 위험,매우 위험,,,,
서울특별시 은평구 대조동,49,주의,위험,,,,
서울특별시 은평구 신사동,25,약간 위험,위험,,,,
서울특별시 도봉구 쌍문동,32,주의,위험,,,,
서울특별시 은평구 갈현동,24,주의,위험,,,,
서울특별시 은평구 증산동,16,주의,약간 위험,,,,
서울특별시 용산구 이태원동,7,주의,위험,,,,
서울특별시 성동구 도선동,9,약간 위험,위험,,,,
서울특별시 서대문구 남가좌동,15,약간 위험,위험,,,,
서울특별시 양천구 신정동,33,주의,위험,,,,
서울특별시 금천구 시흥동,53,주의,위험,,,,
서울특별시 용산구 한남동,12,주의,매우 위험,,,,
서울특별시 강서구 염창동,15,주의,매우 위험,,,,
서울특별시 성북구 석관동,14,주의,위험,,,,
서울특별시 강서구 화곡동,92,주의,위험,,,,
서울특별시 영등포구 대림동,27,주의,위험,,,,
서울특별시 관악구 남현동,10,약간 위험,위험,,,,
서울특별시 서초구 방배동,37,주의,위험,,,,
서울특별시 서대문구 연희동,16,주의,위험,,,,
서울특별시 도봉구 도봉동,35,주의,위험,,,,
서울특별시 동대문구 용두동,44,주의,위험,,,,
서울특별시 성북구 동소문동7가,3,주의,위험,,,,
서울특별시 성북구 정릉동,40,주의,매우 위험,,,,
서울특별시 성동구 금호동1가,9,주의,매우 위험,,,,
서울특별시 영등포구 영등포동3가,12,약간 위험,매우 위험,,,,
서울특별시 중랑구 신내동,20,약간 위험,매우 위험,,,,
서울특별시 중랑구 상봉동,29,주의,위험,,,,
서울특별시 종로구 장사동,6,약간 위험,위험,,,,
서울특별시 종로구 창신동,22,주의,매우 위험,,,,
서울특별시 성북구 하월곡동,34,약간 위험,위험,,,,
서울특별시 강북구 미아동,119,주의,매우 위험,,,,
서울특별시 강서구 등촌동,16,주의,매우 위험,,,,
서울특별시 동작구 사당동,32,주의,매우 위험,,,,
서울특별시 송파구 거여동,13,약간 위험,위험,,,,
서울특별시 중구 남창동,19,약간 위험,매우 위험,,,,
서울특별시 동대문구 장안동,31,주의,위험,,,,
서울특별시 동대문구 신설동,34,약간 위험,위험,,,,
서울특별시 동대문구 제기동,104,주의,매우 위험,,,,
서울특별시 중랑구 망우동,56,주의,,,,,
서울특별시 동대문구 전농동,54,약간 위험,,,,,
서울특별시 성북구 동선동1가,5,약간 위험,위험,,,,
서울특별시 성북구 장위동,39,주의,위험,,,,
서울특별시 노원구 중계동,20,주의,위험,,,,
서울특별시 서대문구 영천동,13,약간 위험,매우 위험,,,,
서울특별시 서대문구 홍제동,55,주의,매우 위험,,,,
서울특별시 마포구 도화동,7,주의,위험,,,,
서울특별시 강동구 길동,30,주의,위험,,,,
서울특별시 강동구 성내동,42,주의,매우 위험,,,,
서울특별시 광진구 능동,4,주의,매우 위험,,,,
서울특별시 마포구 성산동,10,약간 위험,위험,,,,
서울특별시 종로구 세종로,3,주의,위험,,,,
서울특별시 종로구 숭인동,30,주의,위험,,,,
서울특별시 광진구 자양동,6,주의,약간 위험,,,,
서울특별시 영등포구 당산동3가,7,주의,매우 위험,,,,
서울특별시 마포구 동교동,13,약간 위험,위험,,,,
서울특별시 양천구 목동,32,약간 위험,위험,,,,
서울특별시 강남구 삼성동,4,주의,매우 위험,,,,
서울특별시 영등포구 당산동2가,5,약간 위험,매우 위험,,,,
서울특별시 강남구 수서동,7,주의,위험,,,,
서울특별시 영등포구 영등포동8가,3,주의,위험,,,,
서울특별시 중구 남대문로5가,13,주의,매우 위험,,,,
서울특별시 동대문구 이문동,34,주의,위험,,,,
서울특별시 영등포구 문래동3가,5,주의,매우 위험,,,,
서울특별시 용산구 서계동,4,주의,위험,,,,
서울특별시 성동구 금호동3가,14,주의,매우 위험,,,,
서울특별시 광진구 중곡동,28,약간 위험,위험,,,,
서울특별시 성북구 길음동,36,주의,매우 위험,,,,
서울특별시 성북구 돈암동,17,주의,위험,,,,
서울특별시 성북구 삼선동1가,8,주의,매우 위험,,,,
서울특별시 노원구 상계동,49,주의,,,,,
서울특별시 성북구 종암동,32,주의,매우 위험,,,,
서울특별시 강북구 번동,26,주의,위험,,,,
서울특별시 구로구 신도림동,4,주의,,,,,
서울특별시 송파구 오금동,8,주의,매우 위험,,,,
서울특별시 종로구 묘동,4,주의,위험,,,,
서울특별시 종로구 관훈동,3,주의,위험,,,,
서울특별시 중구 충무로4가,3,주의,위험,,,,
서울특별시 광진구 군자동,7,주의,위험,,,,
서울특별시 서초구 양재동,6,주의,위험,,,,
서울특별시 중구 흥인동,4,주의,위험,,,,
서울특별시 중구 소공동,3,주의,위험,,,,
서울특별시 성동구 용답동,12,주의,위험,,,,
서울특별시 용산구 한강로2가,3,주의,위험,,,,
서울특별시 은평구 수색동,2,주의,,,,,
서울특별시 구로구 고척동,12,주의,매우 위험,,,,
서울특별시 동대문구 청량리동,57,약간 위험,위험,,,,
서울특별시 서초구 서초동,23,주의,매우 위험,,,,
서울특별시 서대문구 홍은동,34,주의,위험,,,,
서울특별시 마포구 아현동,6,주의,위험,,,,
서울특별시 노원구 하계동,10,주의,약간 위험,,,,
서울특별시 성북구 동소문동1가,4,주의,위험,,,,
서울특별시 성북구 안암동3가,3,주의,매우 위험,,,,
서울특별시 영등포구 영등포동4가,11,약간 위험,위험,,,,
서울특별시 영등포구 당산동1가,11,주의,,,,,
서울특별시 서대문구 창천동,5,약간 위험,매우 위험,,,,
서울특별시 은평구 녹번동,10,주의,위험,,,,
서울특별시 송파구 마천동,15,약간 위험,위험,,,,
서울특별시 중구 인현동1가,3,주의,위험,,,,
서울특별시 도봉구 창동,32,주의,위험,,,,
서울특별시 중구 의주로1가,4,주의,위험,,,,
서울특별시 영등포구 영등포동,19,약간 위험,위험,,,,
서울특별시 동대문구 답십리동,14,주의,위험,,,,
서울특별시 마포구 노고산동,12,주의,위험,,,,
서울특별시 동대문구 휘경동,34,주의,매우 위험,,,,
서울특별시 동대문구 회기동,11,주의,매우 위험,,,,
서울특별시 은평구 역촌동,15,주의,위험,,,,
서울특별시 영등포구 여의도동,8,주의,약간 위험,,,,
서울특별시 서대문구 북가좌동,24,약간 위험,위험,,,,
서울특별시 마포구 용강동,8,주의,위험,,,,
서울특별시 마포구 창전동,3,주의,매우 위험,,,,
서울특별시 강동구 고덕동,7,주의,매우 위험,,,,
서울특별시 성동구 홍익동,3,주의,매우 위험,,,,
서울특별시 강남구 역삼동,7,주의,위험,,,,
서울특별시 강동구 명일동,23,주의,위험,,,,
서울특별시 동작구 상도1동,7,약간 위험,매우 위험,,,,
서울특별시 성북구 동소문동5가,15,약간 위험,위험,,,,
