지역,자전거,무단횡단,스쿨존,보행자,최대 사고
서울특별시 강남구 개포동,,12,,11,무단횡단
서울특별시 강남구 논현동,,29,,8,무단횡단
서울특별시 강남구 대치동,,35,,9,무단횡단
서울특별시 강남구 도곡동,,11,,17,보행자
서울특별시 강남구 삼성동,,10,,4,무단횡단
서울특별시 강남구 수서동,15,,,7,자전거
서울특별시 강남구 압구정동,11,,,,자전거
서울특별시 강남구 역삼동,,8,,7,무단횡단
서울특별시 강남구 일원동,15,0,,,자전거
서울특별시 강남구 청담동,4,7,,,무단횡단
서울특별시 강동구 강일동,4,,,,자전거
서울특별시 강동구 고덕동,14,4,,30,보행자
서울특별시 강동구 길동,41,15,2,5,자전거
서울특별시 강동구 둔촌동,22,,,23,보행자
서울특별시 강동구 명일동,9,,,3,자전거
서울특별시 강동구 명일동 대명초등학교 부근,,,,42,보행자
서울특별시 강동구 성내동,127,7,,8,자전거
서울특별시 강동구 암사동,18,,,31,보행자
서울특별시 강동구 천호동,86,4,,119,보행자
서울특별시 강북구 미아동,60,81,,26,무단횡단
서울특별시 강북구 번동,62,5,,94,보행자
서울특별시 강북구 수유동,55,34,,3,자전거
서울특별시 강서구 가양동,16,4,,,자전거
서울특별시 강서구 공항동,13,6,,21,보행자
서울특별시 강서구 내발산동,18,5,,16,자전거
서울특별시 강서구 등촌동,33,,,13,자전거
서울특별시 강서구 방화동,23,,,15,자전거
서울특별시 강서구 외발산동,5,,,,자전거
서울특별시 강서구 염창동,,4,,92,보행자
서울특별시 강서구 화곡동,91,44,,10,자전거
서울특별시 관악구 남현동,,,,130,보행자
서울특별시 관악구 봉천동,60,73,1,119,보행자
서울특별시 관악구 신림동,94,113,1,5,무단횡단
서울특별시 광진구 광장동,15,4,,27,보행자
서울특별시 광진구 구의동,62,11,,7,자전거
서울특별시 광진구 군자동,30,,,4,자전거
서울특별시 광진구 능동,5,4,,6,보행자
서울특별시 광진구 자양동,173,,,28,자전거
서울특별시 광진구 중곡동,45,,,12,자전거
서울특별시 광진구 화양동,21,27,,0,무단횡단
서울특별시 구로구 가리봉동,19,66,,46,무단횡단
서울특별시 구로구 개봉동,39,24,,12,자전거
서울특별시 구로구 고척동,5,11,,74,보행자
서울특별시 구로구 구로동,165,13,,4,자전거
서울특별시 구로구 궁동,,,,4,보행자
서울특별시 구로구 신도림동,24,,,28,보행자
서울특별시 구로구 오류동,13,8,,8,자전거
서울특별시 구로구 온수동,,5,,0,무단횡단
서울특별시 금천구 가산동,9,9,,49,보행자
서울특별시 금천구 독산동,37,57,,53,무단횡단
서울특별시 금천구 시흥동,38,46,1,24,무단횡단
서울특별시 노원구 공릉동,22,15,,49,보행자
서울특별시 노원구 상계동,116,23,3,19,자전거
서울특별시 노원구 월계동,24,10,,20,자전거
서울특별시 노원구 중계동,64,4,,10,자전거
서울특별시 노원구 하계동,29,20,,35,보행자
서울특별시 도봉구 도봉동,36,13,,39,보행자
서울특별시 도봉구 방학동,66,4,,32,자전거
서울특별시 도봉구 쌍문동,23,,2,32,보행자
서울특별시 도봉구 창동,74,19,5,14,자전거
서울특별시 동대문구 답십리동,78,6,,34,자전거
서울특별시 동대문구 신설동,10,25,,44,보행자
서울특별시 동대문구 용두동,116,4,,34,자전거
서울특별시 동대문구 이문동,6,4,,31,보행자
서울특별시 동대문구 장안동,151,,4,54,자전거
서울특별시 동대문구 전농동,34,,,104,보행자
서울특별시 동대문구 제기동,101,,,57,자전거
서울특별시 동대문구 청량리동,16,9,,11,자전거
서울특별시 동대문구 회기동,6,8,,34,보행자
서울특별시 동대문구 휘경동,33,8,,8,자전거
서울특별시 동작구 노량진동,22,11,,22,자전거
서울특별시 동작구 대방동,7,11,2,32,보행자
서울특별시 동작구 동작동,10,,,,자전거
서울특별시 동작구 본동,33,,,,자전거
서울특별시 동작구 사당동,22,12,,7,자전거
서울특별시 동작구 상도1동,,,,86,보행자
서울특별시 동작구 상도동,8,13,2,25,보행자
서울특별시 동작구 신대방동,43,,,,자전거
서울특별시 동작구 흑석동,10,,5,4,자전거
서울특별시 마포구 공덕동,4,21,,,무단횡단
서울특별시 마포구 구수동,,,,12,보행자
서울특별시 마포구 노고산동,4,,,7,보행자
서울특별시 마포구 대흥동,,12,,,무단횡단
서울특별시 마포구 도화동,4,7,,13,보행자
서울특별시 마포구 동교동,14,5,,16,보행자
서울특별시 마포구 망원동,42,,,12,자전거
서울특별시 마포구 상수동,5,,,,자전거
서울특별시 마포구 상암동,4,,,,자전거
서울특별시 마포구 서교동,13,,,10,자전거
서울특별시 마포구 성산동,19,,,4,자전거
서울특별시 마포구 신수동,4,11,,6,무단횡단
서울특별시 마포구 아현동,,,,3,보행자
서울특별시 마포구 연남동,19,,,2,자전거
서울특별시 마포구 염리동,,,,8,보행자
서울특별시 마포구 용강동,,,,3,보행자
서울특별시 마포구 중동,4,,,,자전거
서울특별시 마포구 창전동,5,,,,자전거
서울특별시 마포구 합정동,6,,,,자전거
서울특별시 서대문구 남가좌동,9,,,24,보행자
서울특별시 서대문구 냉천동,,7,,,무단횡단
서울특별시 서대문구 대현동,,6,,,무단횡단
서울특별시 서대문구 북가좌동,16,,,24,보행자
서울특별시 서대문구 북아현동,,,,16,보행자
서울특별시 서대문구 신촌동,,7,,,무단횡단
서울특별시 서대문구 연희동,,4,,13,보행자
서울특별시 서대문구 영천동,4,8,,5,무단횡단
서울특별시 서대문구 창천동,,11,,3,무단횡단
서울특별시 서대문구 천연동,8,,,,자전거
서울특별시 서대문구 현저동,5,8,,34,보행자
서울특별시 서대문구 홍은동,24,9,,55,보행자
서울특별시 서대문구 홍제동,,,2,37,보행자
서울특별시 서초구 반포동,,5,,,무단횡단
서울특별시 서초구 방배동,,17,,23,보행자
서울특별시 서초구 서초동,22,34,,6,무단횡단
서울특별시 서초구 양재동,,8,,8,무단횡단
서울특별시 서초구 잠원동,,5,,9,보행자
서울특별시 성동구 금호동1가,5,,,14,보행자
서울특별시 성동구 금호동3가,7,,,3,자전거
서울특별시 성동구 금호동4가,28,,,9,자전거
서울특별시 성동구 도선동,,,,8,보행자
서울특별시 성동구 마장동,,,,4,보행자
서울특별시 성동구 사근동,56,,,4,자전거
서울특별시 성동구 상왕십리동,63,,,6,자전거
서울특별시 성동구 성수동1가,24,3,,7,자전거
서울특별시 성동구 성수동2가,,12,,3,무단횡단
서울특별시 성동구 송정동,12,,,,자전거
서울특별시 성동구 옥수동,,,,12,보행자
서울특별시 성동구 용답동,10,,,3,자전거
서울특별시 성동구 응봉동,5,,,40,보행자
서울특별시 성동구 행당동,,,,3,보행자
서울특별시 성동구 홍익동,6,,,36,보행자
서울특별시 성북구 길음동,,4,2,17,보행자
서울특별시 성북구 돈암동,,,,5,보행자
서울특별시 성북구 동선동1가,,,,16,보행자
서울특별시 성북구 동선동2가,,,,4,보행자
서울특별시 성북구 동선동4가,,,,3,보행자
서울특별시 성북구 동선동5가,,,,4,보행자
서울특별시 성북구 동소문동1가,,,,3,보행자
서울특별시 성북구 동소문동4가,4,,,15,보행자
서울특별시 성북구 동소문동5가,,,,4,보행자
서울특별시 성북구 동소문동6가,4,,,3,자전거
서울특별시 성북구 동소문동7가,9,,2,8,자전거
서울특별시 성북구 보문동1가,,8,,,무단횡단
서울특별시 성북구 삼선동1가,28,,,4,자전거
서울특별시 성북구 상월곡동,,,,14,보행자
서울특별시 성북구 석관동,4,7,3,3,무단횡단
서울특별시 성북구 안암동3가,,,,5,보행자
서울특별시 성북구 안암동4가,10,,,,자전거
서울특별시 성북구 안암동5가,,,,39,보행자
서울특별시 성북구 장위동,29,20,5,40,보행자
서울특별시 성북구 정릉동,31,,,32,보행자
서울특별시 성북구 종암동,124,,2,34,자전거
서울특별시 성북구 하월곡동,31,,,45,보행자
서울특별시 송파구 가락동,11,7,,13,보행자
서울특별시 송파구 거여동,19,,,15,자전거
서울특별시 송파구 마천동,139,4,,11,자전거
서울특별시 송파구 문정동,57,,,3,자전거
서울특별시 송파구 방이동,59,4,2,10,자전거
서울특별시 송파구 삼전동,39,,,9,자전거
서울특별시 송파구 석촌동,40,4,,6,자전거
서울특별시 송파구 송파동,45,8,,3,자전거
서울특별시 송파구 신천동,203,,,8,자전거
서울특별시 송파구 오금동,53,,,13,자전거
서울특별시 송파구 잠실동,123,,,3,자전거
서울특별시 송파구 풍납동,54,,,32,자전거
서울특별시 양천구 목동,106,28,2,58,자전거
서울특별시 양천구 신월동,13,37,,33,무단횡단
서울특별시 양천구 신정동,31,28,,11,자전거
서울특별시 영등포구 당산동,,,,,자전거
서울특별시 영등포구 당산동1가,12,5,,5,자전거
서울특별시 영등포구 당산동2가,18,5,,7,자전거
서울특별시 영등포구 당산동3가,,4,,4,무단횡단
서울특별시 영등포구 당산동4가,20,,,,자전거
서울특별시 영등포구 당산동5가,118,,,4,자전거
서울특별시 영등포구 당산동6가,,,,27,보행자
서울특별시 영등포구 대림동,4,14,,4,무단횡단
서울특별시 영등포구 도림동,14,,,5,자전거
서울특별시 영등포구 문래동1가,26,,,,자전거
서울특별시 영등포구 문래동3가,7,14,,3,무단횡단
서울특별시 영등포구 문래동5가,69,,,5,자전거
서울특별시 영등포구 문래동6가,4,,,57,보행자
서울특별시 영등포구 신길동,13,43,,3,무단횡단
서울특별시 영등포구 양평동,11,,,,자전거
서울특별시 영등포구 양평동1가,11,,,3,자전거
서울특별시 영등포구 양평동2가,6,3,,8,보행자
서울특별시 영등포구 양평동3가,12,,,,자전거
서울특별시 영등포구 양평동4가,5,5,,,자전거
서울특별시 영등포구 양평동5가,15,,,,자전거
서울특별시 영등포구 양평동6가,134,,,,자전거
서울특별시 영등포구 양화동,13,,,,자전거
서울특별시 영등포구 여의도동,,4,,19,보행자
서울특별시 영등포구 영등포동,5,25,,3,무단횡단
서울특별시 영등포구 영등포동1가,16,17,,12,무단횡단
서울특별시 영등포구 영등포동2가,,4,,,무단횡단
서울특별시 영등포구 영등포동3가,,24,,11,무단횡단
서울특별시 영등포구 영등포동4가,,,,11,보행자
서울특별시 영등포구 영등포동6가,,,,14,보행자
서울특별시 영등포구 영등포동7가,4,8,,3,무단횡단
서울특별시 영등포구 영등포동8가,,,,3,보행자
서울특별시 용산구 갈월동,,,,6,보행자
서울특별시 용산구 남영동,,,,7,보행자
서울특별시 용산구 보광동,14,6,,4,자전거
서울특별시 용산구 서계동,,,,3,보행자
서울특별시 용산구 서빙고동,,,,,자전거
서울특별시 용산구 용문동,,,,5,보행자
서울특별시 용산구 용산동3가,17,,,5,자전거
서울특별시 용산구 원효로1가,,5,,,무단횡단
서울특별시 용산구 원효로2가,,,,3,보행자
서울특별시 용산구 이촌동,6,,,7,보행자
서울특별시 용산구 이태원동,,,,3,보행자
서울특별시 용산구 한강로1가,12,5,,,자전거
서울특별시 용산구 한강로2가,,11,,12,보행자
서울특별시 용산구 한강로3가,,7,,,무단횡단
서울특별시 용산구 한남동,,9,,4,무단횡단
서울특별시 용산구 효창동,49,,,5,자전거
서울특별시 용산구 후암동,,,,24,보행자
서울특별시 은평구 갈현동,8,31,3,8,무단횡단
서울특별시 은평구 갈현동 갈현초등학교 부근,4,,,3,자전거
서울특별시 은평구 구산동,15,10,2,10,자전거
서울특별시 은평구 녹번동,19,10,,49,보행자
서울특별시 은평구 대조동,,33,,62,보행자
서울특별시 은평구 불광동,,15,,2,무단횡단
서울특별시 은평구 수색동,71,,,25,자전거
서울특별시 은평구 신사동,22,27,,15,무단횡단
서울특별시 은평구 역촌동,11,,,40,보행자
